Country,Institution,Year,Regulation,Type of Regulation,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
India,Reserve Bank of India,2016,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,Reporting Requirements,,,,,,,,,,,,,,Master Circular ? Mobile Banking transactions in India ? Operative Guidelines for Banks,
India,Telecom Regulatory Authority of India,2016,The Mobile Banking (Quality of Service) Regulations,KYC Requirements,,,,,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,
India,Telecom Regulatory Authority of India,2016,The Mobile Banking (Quality of Service) Regulations,Interoperability,,,,,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,
India,Telecom Regulatory Authority of India,2016,The Mobile Banking (Quality of Service) Regulations,Agent Selection,,,,,,,,,,,,,,The Mobile Banking (Quality of Service) Regulations,
Indonesia,Bank Indonesia,2009,Bank Indonesia Regulation Number: 11/12/PBI/2009 Concerning Electronic Money,KYC Requirements,,,,,,,Bank Indonesia number 11/12/PBI/2009 Electronic money,,,,,,,,
Indonesia,Bank Indonesia,2009,Bank Indonesia Regulation Number: 11/12/PBI/2009 Concerning Electronic Money,Interoperability,,,,,,,Bank Indonesia number 11/12/PBI/2009 Electronic money,,,,,,,,
Indonesia,Bank Indonesia,2009,Bank Indonesia Regulation Number: 11/12/PBI/2009 Concerning Electronic Money,Reporting Requirements,,,,,,,Bank Indonesia number 11/12/PBI/2009 Electronic money,,,,,,,,
Indonesia,Bank Indonesia,2009,Circular No. 11/11/DASP Concerning Electronic Money,KYC Requirements,,,,,,,Circular No. 11/11/DASP Concerning Electronic Money,,,,,,,,
Indonesia,Bank Indonesia,2009,Circular No. 11/11/DASP Concerning Electronic Money,Caps and Fees,,,,,,,Circular No. 11/11/DASP Concerning Electronic Money,,,,,,,,
Indonesia,Bank Indonesia,2009,Circular No. 11/11/DASP Concerning Electronic Money,Agent Selection,,,,,,,Circular No. 11/11/DASP Concerning Electronic Money,,,,,,,,
Indonesia,Bank Indonesia,2017,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider,KYC Requirements,,,,,,,,,,,,,,,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider
Indonesia,Bank Indonesia,2017,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider,Agent Selection,,,,,,,,,,,,,,,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider
Indonesia,Bank Indonesia,2017,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider,Reporting Requirements,,,,,,,,,,,,,,,Bank Indonesia Regulation Number: 19/10/PBI/2017 Concerning Implementation of Anti-Money Laundering and Prevention of Terrorism Financing for Non-Bank Payment System Service Provider and Non-Bank Money Changing Service Provider
Kenya,Central Bank of Kenya,2010,Guidelines on Agent Banking,KYC Requirements,,,,,,,,Guidelines on Agent Banking,,,,,,,
Kenya,Central Bank of Kenya,2010,Guidelines on Agent Banking,Caps and Fees,,,,,,,,Guidelines on Agent Banking,,,,,,,
Kenya,Central Bank of Kenya,2010,Guidelines on Agent Banking,Agent Selection,,,,,,,,Guidelines on Agent Banking,,,,,,,
Kenya,Central Bank of Kenya,2010,Guidelines on Agent Banking,Agent Services,,,,,,,,Guidelines on Agent Banking,,,,,,,
Kenya,Central Bank of Kenya,2010,Guidelines on Agent Banking,Reporting Requirements,,,,,,,,Guidelines on Agent Banking,,,,,,,
Kenya,Central Bank of Kenya,2013,E-Money Regulation,Agent Selection,,,,,,,,,,,E-Money Regulation,,,,
Kenya,Central Bank of Kenya,2013,E-Money Regulation,Reporting Requirements,,,,,,,,,,,E-Money Regulation,,,,
Kenya,Central Bank of Kenya,2013,"The National Payment System Regulations, 2013",Interoperability,,,,,,,,,,,"The National Payment System Regulations, 2013",,,,
Kenya,Central Bank of Kenya,2013,"The National Payment System Regulations, 2013",Agent Selection,,,,,,,,,,,"The National Payment System Regulations, 2013",,,,
Kenya,Central Bank of Kenya,2013,"The National Payment System Regulations, 2013",Agent Services,,,,,,,,,,,"The National Payment System Regulations, 2013",,,,
Kenya,Central Bank of Kenya,2013,"The National Payment System Regulations, 2013",Reporting Requirements,,,,,,,,,,,"The National Payment System Regulations, 2013",,,,
Kenya,Central Bank of Kenya,2013,Prudential Guidelines for Institutions Licensed Under the Banking Act,KYC Requirements,,,,,,,,,,,Prudential Guidelines for Institutions Licensed Under the Banking Act,,,,
Kenya,Central Bank of Kenya,2013,Prudential Guidelines for Institutions Licensed Under the Banking Act,Agent Selection,,,,,,,,,,,Prudential Guidelines for Institutions Licensed Under the Banking Act,,,,
Kenya,Central Bank of Kenya,2013,Prudential Guidelines for Institutions Licensed Under the Banking Act,Agent Services,,,,,,,,,,,Prudential Guidelines for Institutions Licensed Under the Banking Act,,,,
Kenya,Central Bank of Kenya,2013,Prudential Guidelines for Institutions Licensed Under the Banking Act,Reporting Requirements,,,,,,,,,,,Prudential Guidelines for Institutions Licensed Under the Banking Act,,,,
Kenya,Central Bank of Kenya,2014,"The National Payment System Regulations, 2014",KYC Requirements,,,,,,,,,,,,"The National Payment System Regulations, 2014",,,
Kenya,Central Bank of Kenya,2014,"The National Payment System Regulations, 2014",Caps and Fees,,,,,,,,,,,,"The National Payment System Regulations, 2014",,,
Kenya,Central Bank of Kenya,2014,"The National Payment System Regulations, 2014",Interoperability,,,,,,,,,,,,"The National Payment System Regulations, 2014",,,
Kenya,Central Bank of Kenya,2014,"The National Payment System Regulations, 2014",Agent Selection,,,,,,,,,,,,"The National Payment System Regulations, 2014",,,
Kenya,Central Bank of Kenya,2014,"The National Payment System Regulations, 2014",Reporting Requirements,,,,,,,,,,,,"The National Payment System Regulations, 2014",,,
Nigeria,Central Bank of Nigeria,2007,Guidelines on Point-of-Sale (POS) Card Acceptance Services,KYC Requirements,,,,,Guidelines on Point-of-Sale (POS) Card Acceptance Services,,,,,,,,,,
Nigeria,Central Bank of Nigeria,2007,Guidelines on Point-of-Sale (POS) Card Acceptance Services,Caps and Fees,,,,,Guidelines on Point-of-Sale (POS) Card Acceptance Services,,,,,,,,,,
Nigeria,Central Bank of Nigeria,2007,Guidelines on Point-of-Sale (POS) Card Acceptance Services,Interoperability,,,,,Guidelines on Point-of-Sale (POS) Card Acceptance Services,,,,,,,,,,
Nigeria,Central Bank of Nigeria,2007,Guidelines on Point-of-Sale (POS) Card Acceptance Services,Agent Selection,,,,,Guidelines on Point-of-Sale (POS) Card Acceptance Services,,,,,,,,,,
Nigeria,Central Bank of Nigeria,2007,Guidelines on Point-of-Sale (POS) Card Acceptance Services,Agent Services,,,,,Guidelines on Point-of-Sale (POS) Card Acceptance Services,,,,,,,,,,
Nigeria,Central Bank of Nigeria,2007,Guidelines on Point-of-Sale (POS) Card Acceptance Services,Reporting Requirements,,,,,Guidelines on Point-of-Sale (POS) Card Acceptance Services,,,,,,,,,,
Nigeria,Central Bank of Nigeria,2012,Timeline for Interoperability and Interconnectivity,Interoperability,,,,,,,,,,Timeline for Interoperability and Interconnectivity,,,,,
Nigeria,Central Bank of Nigeria,2013,Circular on Introduction of Three-tiered Know Your Customer Requirements,KYC Requirements,,,,,,,,,,,Circular on Introduction of Three-tiered Know Your Customer Requirements,,,,
Nigeria,Central Bank of Nigeria,2013,Circular on Introduction of Three-tiered Know Your Customer Requirements,Caps and Fees,,,,,,,,,,,Circular on Introduction of Three-tiered Know Your Customer Requirements,,,,
Nigeria,Central Bank of Nigeria,2013,Circular on Introduction of Three-tiered Know Your Customer Requirements,Reporting Requirements,,,,,,,,,,,Circular on Introduction of Three-tiered Know Your Customer Requirements,,,,
Nigeria,Central Bank of Nigeria,2013,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,KYC Requirements,,,,,,,,,,,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,,,,
Nigeria,Central Bank of Nigeria,2013,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,Caps and Fees,,,,,,,,,,,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,,,,
Nigeria,Central Bank of Nigeria,2013,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,Interoperability,,,,,,,,,,,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,,,,
Nigeria,Central Bank of Nigeria,2013,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,Agent Selection,,,,,,,,,,,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,,,,
Nigeria,Central Bank of Nigeria,2013,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,Agent Services,,,,,,,,,,,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,,,,
Nigeria,Central Bank of Nigeria,2013,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,Reporting Requirements,,,,,,,,,,,Guidelines for the Regulation of Agent Banking and Agent Banking Relationships in Nigeria,,,,
Nigeria,Central Bank of Nigeria,2014,Circular on Exposure Draft on the Framework for Licensing Super Agents,KYC Requirements,,,,,,,,,,,,Circular on Exposure Draft on the Framework for Licensing Super Agents,,,
Nigeria,Central Bank of Nigeria,2014,Circular on Exposure Draft on the Framework for Licensing Super Agents,Caps and Fees,,,,,,,,,,,,Circular on Exposure Draft on the Framework for Licensing Super Agents,,,
Nigeria,Central Bank of Nigeria,2014,Circular on Exposure Draft on the Framework for Licensing Super Agents,Interoperability,,,,,,,,,,,,Circular on Exposure Draft on the Framework for Licensing Super Agents,,,
Nigeria,Central Bank of Nigeria,2014,Circular on Exposure Draft on the Framework for Licensing Super Agents,Agent Selection,,,,,,,,,,,,Circular on Exposure Draft on the Framework for Licensing Super Agents,,,
Nigeria,Central Bank of Nigeria,2014,Circular on Exposure Draft on the Framework for Licensing Super Agents,Agent Services,,,,,,,,,,,,Circular on Exposure Draft on the Framework for Licensing Super Agents,,,
Nigeria,Central Bank of Nigeria,2014,Circular on Exposure Draft on the Framework for Licensing Super Agents,Reporting Requirements,,,,,,,,,,,,Circular on Exposure Draft on the Framework for Licensing Super Agents,,,
Nigeria,Central Bank of Nigeria,2014,Circular on the introduction of fees on remote-on-us ATM withdrawal transactions,Caps and Fees,,,,,,,,,,,,Circular on the introduction of fees on remote-on-us ATM withdrawal transactions,,,
Nigeria,Central Bank of Nigeria,2014,Circular on the Review of Operations of the NIBBSS Instant Payment (NIP) System and Other Electronic Payments Options with Similar Features,KYC Requirements,,,,,,,,,,,,Circular on the Review of Operations of the NIBBSS Instant Payment (NIP) System and Other Electronic Payments Options with Similar Features,,,
Nigeria,Central Bank of Nigeria,2014,Circular on the Review of Operations of the NIBBSS Instant Payment (NIP) System and Other Electronic Payments Options with Similar Features,Caps and Fees,,,,,,,,,,,,Circular on the Review of Operations of the NIBBSS Instant Payment (NIP) System and Other Electronic Payments Options with Similar Features,,,
Nigeria,Central Bank of Nigeria,2015,Circular on the implementation of the Global Mobile Payments Monitoring and Regulation System,Reporting Requirements,,,,,,,,,,,,,Circular on the implementation of the Global Mobile Payments Monitoring and Regulation System,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on International Mobile Money Remittance Service in Nigeria ,KYC Requirements,,,,,,,,,,,,,Guidelines on International Mobile Money Remittance Service in Nigeria ,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on International Mobile Money Remittance Service in Nigeria ,Caps and Fees,,,,,,,,,,,,,Guidelines on International Mobile Money Remittance Service in Nigeria ,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on International Mobile Money Remittance Service in Nigeria ,Interoperability,,,,,,,,,,,,,Guidelines on International Mobile Money Remittance Service in Nigeria ,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on International Mobile Money Remittance Service in Nigeria ,Agent Selection,,,,,,,,,,,,,Guidelines on International Mobile Money Remittance Service in Nigeria ,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on International Mobile Money Remittance Service in Nigeria ,Agent Services,,,,,,,,,,,,,Guidelines on International Mobile Money Remittance Service in Nigeria ,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on International Mobile Money Remittance Service in Nigeria ,Reporting Requirements,,,,,,,,,,,,,Guidelines on International Mobile Money Remittance Service in Nigeria ,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on Mobile Money Services in Nigeria,KYC Requirements,,,,,,,,,,,,,Guidelines on Mobile Money Services in Nigeria,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on Mobile Money Services in Nigeria,Caps and Fees,,,,,,,,,,,,,Guidelines on Mobile Money Services in Nigeria,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on Mobile Money Services in Nigeria,Interoperability,,,,,,,,,,,,,Guidelines on Mobile Money Services in Nigeria,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on Mobile Money Services in Nigeria,Agent Selection,,,,,,,,,,,,,Guidelines on Mobile Money Services in Nigeria,,
Nigeria,Central Bank of Nigeria,2015,Guidelines on Mobile Money Services in Nigeria,Reporting Requirements,,,,,,,,,,,,,Guidelines on Mobile Money Services in Nigeria,,
Nigeria,Central Bank of Nigeria,2015,Regulatory Framework for Mobile Money Services in Nigeria,KYC Requirements,,,,,,,,,,,,,Regulatory Framework for Mobile Money Services in Nigeria,,
Nigeria,Central Bank of Nigeria,2015,Regulatory Framework for Mobile Money Services in Nigeria,Interoperability,,,,,,,,,,,,,Regulatory Framework for Mobile Money Services in Nigeria,,
Nigeria,Central Bank of Nigeria,2015,Regulatory Framework for Mobile Money Services in Nigeria,Agent Selection,,,,,,,,,,,,,Regulatory Framework for Mobile Money Services in Nigeria,,
Nigeria,Central Bank of Nigeria,2015,Sanctions on Erring Banks/e-Payment Service Providers for Infractions of Payment System Rules and Regulations,Agent Selection,,,,,,,,,,,,,Sanctions on Erring Banks/e-Payment Service Providers for Infractions of Payment System Rules and Regulations,,
Nigeria,Central Bank of Nigeria,2016,Guidelines on Operations of Electronic Payment Channels in Nigeria,KYC Requirements,,,,,,,,,,,,,,Guidelines on Operations of Electronic Payment Channels in Nigeria,
Nigeria,Central Bank of Nigeria,2016,Guidelines on Operations of Electronic Payment Channels in Nigeria,Caps and Fees,,,,,,,,,,,,,,Guidelines on Operations of Electronic Payment Channels in Nigeria,
Nigeria,Central Bank of Nigeria,2016,Guidelines on Operations of Electronic Payment Channels in Nigeria,Interoperability,,,,,,,,,,,,,,Guidelines on Operations of Electronic Payment Channels in Nigeria,
Nigeria,Central Bank of Nigeria,2016,Guidelines on Operations of Electronic Payment Channels in Nigeria,Agent Selection,,,,,,,,,,,,,,Guidelines on Operations of Electronic Payment Channels in Nigeria,
Nigeria,Central Bank of Nigeria,2016,Guidelines on Operations of Electronic Payment Channels in Nigeria,Agent Services,,,,,,,,,,,,,,Guidelines on Operations of Electronic Payment Channels in Nigeria,
